"","true_model","est_lmlik1","est_lmlik2","est_lmlik3","est_lmlik4","est_lmlik5","est_lmlik6","est_lmlik7","est_lmlik8","est_lmlik9","bridge_lmlik1","bridge_lmlik2","bridge_lmlik3","bridge_lmlik4","bridge_lmlik5","bridge_lmlik6","bridge_lmlik7","bridge_lmlik8","bridge_lmlik9"
"39",6,-18441.9,-16155.2,-18447.3,-16160.9,-16169.3,-9721.15,-16168.8,-9739.74,-9789.17,-18470.537441405,-16177.3252608942,-18478.9776526782,-16183.7452337413,-16193.2355293458,-9738.55052903948,-16193.8352570844,-9758.46089310334,-9817.00392440774
"40",4,-15117.2,-15133.7,-15123.9,-9693.6,-15135.1,-9731.8,-9708.08,-9741.54,-9760.25,-15135.4181622694,-15159.5971788471,-15145.1878282079,-9708.88046596162,-15162.9849616568,-9751.46041220695,-9724.69052870625,-9762.98844136303,-9788.3803057113
"41",4,-16813.8,-16829.9,-16822.3,-9694.13,-16832.4,-9726.04,-9707.66,-9735.43,-9755.58,-16836.5503423941,-16859.9682706173,-16849.4563547679,-9709.81869881612,-16865.3340282658,-9746.4327628516,-9725.33050538207,-9757.23033229436,-9784.38179037036
"42",3,-11517.8,-11539.7,-9589.66,-11535.2,-9630.66,-11547,-9619.62,-9655.86,-9667.12,-11532.1556684366,-11564.3464015878,-9605.10717568307,-11557.2516274881,-9650.843300113,-11575.6285840902,-9638.34521465688,-9679.62447419745,-9697.22177403348
"43",3,-13063.8,-13084,-9630.07,-13076.4,-9666.04,-13088.9,-9653.77,-9684.39,-9697.75,-13079.3461833015,-13108.8497305169,-9645.21422003519,-13098.1468224702,-9686.37746667853,-13116.6904823935,-9671.46040944113,-9707.44683281182,-9726.28172728368
"44",9,-23468,-23024.1,-22904.9,-22918.6,-22382,-22397,-22259.1,-21627.5,-10130.2,-23540.1658872138,-23090.1912986281,-22969.9166793243,-22983.9623897389,-22441.0310989152,-22456.6630551492,-22317.3180998889,-21679.8359034753,-10149.1591691191
"45",5,-22421.1,-14038.5,-22116.4,-22425.8,-9823.68,-14055,-22122.6,-9849.86,-9883.22,-22478.9020831253,-14056.5414732761,-22172.1198533604,-22486.6156856866,-9840.36438797677,-14075.5528409255,-22180.0292232215,-9868.40627347833,-9909.53799040317
"46",7,-15578,-15587.4,-13512.9,-13809.6,-13525.5,-13830.1,-9681.1,-9707.13,-9736.19,-15596.483724031,-15610.337987495,-13531.2973397029,-13826.7636704413,-13546.6831333468,-13849.4040117985,-9698.11469437822,-9725.86103853023,-9760.74647309234
"47",1,-9568.1,-9595.83,-9583.05,-9585.05,-9600.99,-9602.44,-9591.06,-9606.39,-9607.55,-9581.56628191079,-9620.78390739576,-9602.75743374719,-9606.65123833491,-9628.87953179434,-9631.25343384048,-9616.11843480797,-9636.83662747507,-9639.66938960715
"48",9,-24099,-23149,-24002.9,-23921.7,-23021.6,-22915.7,-23820.3,-22779.1,-10201.9,-24182.0115269318,-23217.3184839084,-24085.0548473266,-24002.6511203534,-23089.3416364443,-22981.8968829764,-23899.9895796949,-22844.3470546307,-10220.9708084227
"49",9,-25863.6,-21895,-25067.3,-25740.5,-19113.7,-21519.5,-24911.5,-18281,-10211.9,-25985.7821045906,-21947.6877813724,-25169.5119969762,-25859.7465769571,-19146.2743052322,-21569.007377436,-25011.1439971107,-18311.3089383285,-10230.7649055649
"50",1,-9599.78,-9614.28,-9604.43,-9610.28,-9614.93,-9619.04,-9611.68,-9619.67,-9619.99,-9614.29721868481,-9635.53666303652,-9621.36650481866,-9630.46450482165,-9637.59204335388,-9644.65103450293,-9633.37469658561,-9645.75984878108,-9646.62560674514
